c859cba7 a700a759 || 0 0 0 || 0 0 0 ||
7111bff7 e0bb0dbb || 0 0 1 || 0 0 1 ||
0bec8000 167b8c87 || 0 1 1 || 0 1 1 ||
78d396d3 189828de || 0 0 0 || 0 0 0 ||
e4589910 ed0d89a8 || 0 1 1 || 0 1 1 ||
b0115241 883a7353 || 0 0 0 || 0 0 0 ||
305607a9 598e0185 || 0 1 1 || 0 1 1 ||
0ecc654d 92f2fa68 || 0 0 1 || 0 0 1 ||
b15f77e7 d076611f || 0 1 1 || 0 1 1 ||
a149c449 57dae12f || 0 1 0 || 0 1 0 ||
ff1b5a32 a5e9231e || 0 0 0 || 0 0 0 ||
6514cebf 3aed907a || 0 0 0 || 0 0 0 ||
1fdcd58e e3a2608e || 0 0 1 || 0 0 1 ||
b91a6d0c 3cdd81c1 || 0 1 0 || 0 1 0 ||
b46a737d b803ff23 || 0 1 1 || 0 1 1 ||
5f442ce3 679a2289 || 0 1 1 || 0 1 1 ||
318cbe25 89bf02c7 || 0 0 1 || 0 0 1 ||
2ee1525d 5630d368 || 0 1 1 || 0 1 1 ||
e2a6e708 e6e540d3 || 0 1 1 || 0 1 1 ||
29917295 60ae3cf7 || 0 1 1 || 0 1 1 ||
de5c841c 774449c3 || 0 1 0 || 0 1 0 ||
330b84c9 5c47d199 || 0 1 1 || 0 1 1 ||
01b91ca5 75d3e28d || 0 1 1 || 0 1 1 ||
ead52727 9e559e02 || 0 0 0 || 0 0 0 ||
7865faa7 82172af8 || 0 0 1 || 0 0 1 ||
866b562a 16c828e9 || 0 1 0 || 0 1 0 ||
6b443dd6 2c13ed56 || 0 0 0 || 0 0 0 ||
6c85a6a6 cd7ecc00 || 0 0 1 || 0 0 1 ||
3d2af3d2 17158c93 || 0 0 0 || 0 0 0 ||
506c2c2c ee602c25 || 0 0 1 || 0 0 1 ||
4cacf68f 9679fc8d || 0 0 1 || 0 0 1 ||
7b6d94c1 0d789c00 || 0 0 0 || 0 0 0 ||
a65e10c7 e42449f3 || 0 1 1 || 0 1 1 ||
f0ad7f23 25d3131c || 0 1 0 || 0 1 0 ||
f0c82772 94ed8fe7 || 0 0 0 || 0 0 0 ||
0c0ebae9 3aa7dddd || 0 1 1 || 0 1 1 ||
71801a50 a39b79c6 || 0 0 1 || 0 0 1 ||
f067cff8 c0e22a96 || 0 0 0 || 0 0 0 ||
39361ddd 9ba407dc || 0 0 1 || 0 0 1 ||
acc262bc d04825ae || 0 1 1 || 0 1 1 ||
49fb086a 57019d50 || 0 1 1 || 0 1 1 ||
21a6563e 6e309027 || 0 1 1 || 0 1 1 ||
7e88365a 87a80907 || 0 0 1 || 0 0 1 ||
66e15490 b1c47931 || 0 0 1 || 0 0 1 ||
b89b051c f30c15f8 || 0 1 1 || 0 1 1 ||
a9fd2d4c 29a41bef || 0 1 0 || 0 1 0 ||
d242f979 46e47161 || 0 1 0 || 0 1 0 ||
8acc9a7d 277e9d64 || 0 1 0 || 0 1 0 ||
bad44e3c ffcddb7c || 0 1 1 || 0 1 1 ||
93e49545 75f7e02f || 0 1 0 || 0 1 0 ||
1fcc0b10 ff30a47a || 0 0 1 || 0 0 1 ||
ef341cb5 3d3c961d || 0 1 0 || 0 1 0 ||
1c7d2cfd 4d8883ce || 0 1 1 || 0 1 1 ||
fb0e97c1 c2f1b4dd || 0 0 0 || 0 0 0 ||
1a51fa9d d977df78 || 0 0 1 || 0 0 1 ||
4b7545ae 8490d16b || 0 0 1 || 0 0 1 ||
44012f34 9950bbc7 || 0 0 1 || 0 0 1 ||
4b8cde73 fb0d17cb || 0 0 1 || 0 0 1 ||
55d61b1b 766f54f5 || 0 1 1 || 0 1 1 ||
e073dce0 66c415f3 || 0 1 0 || 0 1 0 ||
69b341da 53fde5db || 0 0 0 || 0 0 0 ||
317f6aa8 ba55b4a0 || 0 0 1 || 0 0 1 ||
04185b7d 1b75a25a || 0 1 1 || 0 1 1 ||
053dfe19 e84a7961 || 0 0 1 || 0 0 1 ||
8d4efbf1 d959968f || 0 1 1 || 0 1 1 ||
77a4b29e 6a493db1 || 0 0 0 || 0 0 0 ||
9a1727b1 bd902182 || 0 1 1 || 0 1 1 ||
ecd145ef 88183d47 || 0 0 0 || 0 0 0 ||
f521e60b 90c5897e || 0 0 0 || 0 0 0 ||
0695aaf0 8d7db89e || 0 0 1 || 0 0 1 ||
3f1a8986 550f1848 || 0 1 1 || 0 1 1 ||
c5326563 c5bdd559 || 0 1 1 || 0 1 1 ||
af2ba28b 2b9a4385 || 0 1 0 || 0 1 0 ||
4ac4a7fa 17d2a0aa || 0 0 0 || 0 0 0 ||
d52a4052 9f0dcdb9 || 0 0 0 || 0 0 0 ||
c19af4c9 c8531fe9 || 0 1 1 || 0 1 1 ||
78f6f02d e923642e || 0 0 1 || 0 0 1 ||
f74c32e8 e8130fb5 || 0 0 0 || 0 0 0 ||
ae3cb6fc 0952dd3e || 0 1 0 || 0 1 0 ||
27493676 3637c1e1 || 0 1 1 || 0 1 1 ||
fa9442d2 4275a3ef || 0 1 0 || 0 1 0 ||
15cdb024 96ff4261 || 0 0 1 || 0 0 1 ||
a3591dae e479bffb || 0 1 1 || 0 1 1 ||
81333097 44fe3543 || 0 1 0 || 0 1 0 ||
3722c2e1 a803f616 || 0 0 1 || 0 0 1 ||
5a260abc 38d5691e || 0 0 0 || 0 0 0 ||
c641765b 4e80458a || 0 1 0 || 0 1 0 ||
b222ebe7 5d82c98a || 0 1 0 || 0 1 0 ||
c861d3fc e09e72fa || 0 1 1 || 0 1 1 ||
47696ede e7955469 || 0 0 1 || 0 0 1 ||
49f82fbc 6aadc1cf || 0 1 1 || 0 1 1 ||
a6d657ab 3103425e || 0 1 0 || 0 1 0 ||
b9f7d238 4a1178ed || 0 1 0 || 0 1 0 ||
2ee295e2 ef439309 || 0 0 1 || 0 0 1 ||
53c52262 b4ba75a8 || 0 0 1 || 0 0 1 ||
975b2219 179e0046 || 0 1 0 || 0 1 0 ||
fa756e24 cbf98c1b || 0 0 0 || 0 0 0 ||
2346e6c5 b7e68ffb || 0 0 1 || 0 0 1 ||
c6ed41c2 f3c5b66e || 0 1 1 || 0 1 1 ||
163c412b 56c1306e || 0 1 1 || 0 1 1 ||
62d9a815 14f1b7a2 || 0 0 0 || 0 0 0 ||
f8738bb9 b25b4a61 || 0 0 0 || 0 0 0 ||
85a7ab9d b5f4fb18 || 0 1 1 || 0 1 1 ||
cabf2d1e 64d3bd69 || 0 1 0 || 0 1 0 ||
1f2057c6 3b6cbe59 || 0 1 1 || 0 1 1 ||
bdd97cd2 06cf69ae || 0 1 0 || 0 1 0 ||
ea7d5a9b 10ac4204 || 0 1 0 || 0 1 0 ||
0a4da545 8e3ca772 || 0 0 1 || 0 0 1 ||
939d4182 f00f7ec8 || 0 1 1 || 0 1 1 ||
4604e115 d84a927a || 0 0 1 || 0 0 1 ||
6a8ffacf 807c07d0 || 0 0 1 || 0 0 1 ||
a8a56ad1 6ad867f4 || 0 1 0 || 0 1 0 ||
743c393f cf326f9d || 0 0 1 || 0 0 1 ||
f84132b5 79dbb142 || 0 1 0 || 0 1 0 ||
02c64e85 93eff8d7 || 0 0 1 || 0 0 1 ||
40a4dfaa d91e684a || 0 0 1 || 0 0 1 ||
dea83733 c94f6cc7 || 0 0 0 || 0 0 0 ||
a052ba50 44421552 || 0 1 0 || 0 1 0 ||
1b2b91e4 ec352c58 || 0 0 1 || 0 0 1 ||
9d911909 4ef4b692 || 0 1 0 || 0 1 0 ||
7e8fbe52 4991092e || 0 0 0 || 0 0 0 ||
6de3966c ffefdafe || 0 0 1 || 0 0 1 ||
373d77db ab6ebc93 || 0 0 1 || 0 0 1 ||
836639b8 876fca5f || 0 1 1 || 0 1 1 ||
fa602913 f27d8f4a || 0 0 0 || 0 0 0 ||
c1c24a1e 6270bf20 || 0 1 0 || 0 1 0 ||
1304b227 9733ed5f || 0 0 1 || 0 0 1 ||
b1f8f340 88332015 || 0 0 0 || 0 0 0 ||
ad7eff61 3b120261 || 0 1 0 || 0 1 0 ||
e961356d 2e154750 || 0 1 0 || 0 1 0 ||
9bb2ad81 a09b20e7 || 0 1 1 || 0 1 1 ||
05cbb761 b660014f || 0 0 1 || 0 0 1 ||
ef653003 da102c20 || 0 0 0 || 0 0 0 ||
d7e93a58 892919c4 || 0 0 0 || 0 0 0 ||
9e805825 7f3c05bf || 0 1 0 || 0 1 0 ||
39fb3b1d c122593a || 0 0 1 || 0 0 1 ||
aaeea81c b2a36dd4 || 0 1 1 || 0 1 1 ||
a68b6492 591b6813 || 0 1 0 || 0 1 0 ||
c56dae30 ca415cad || 0 1 1 || 0 1 1 ||
06737693 681e8086 || 0 1 1 || 0 1 1 ||
50cc3353 8be7a635 || 0 0 1 || 0 0 1 ||
adaf81e8 91015243 || 0 0 0 || 0 0 0 ||
de60507f 89ba3a41 || 0 0 0 || 0 0 0 ||
d2d977f8 c825b5fc || 0 0 0 || 0 0 0 ||
8628a2d2 7e67911a || 0 1 0 || 0 1 0 ||
e2607373 4bce86cf || 0 1 0 || 0 1 0 ||
3efcfa07 9569ecce || 0 0 1 || 0 0 1 ||
19551358 979c9968 || 0 0 1 || 0 0 1 ||
fdd889f6 6e9c2800 || 0 1 0 || 0 1 0 ||
978b6343 ffdaebb3 || 0 1 1 || 0 1 1 ||
229bc94b 0fa14bfe || 0 0 0 || 0 0 0 ||
ed0171ff 37864b41 || 0 1 0 || 0 1 0 ||
40bf0383 1dc785e6 || 0 0 0 || 0 0 0 ||
1d872bc3 01ef82a0 || 0 0 0 || 0 0 0 ||
be0d55f4 46d00d80 || 0 1 0 || 0 1 0 ||
8200245f 1192be80 || 0 1 0 || 0 1 0 ||
c6ac4da4 dc4f2313 || 0 1 1 || 0 1 1 ||
24f50016 624195fd || 0 1 1 || 0 1 1 ||
c9058835 c66522c6 || 0 0 0 || 0 0 0 ||
28e37326 92de389e || 0 0 1 || 0 0 1 ||
645bc006 f6ad4053 || 0 0 1 || 0 0 1 ||
f5cbcb8d ed83ee1e || 0 0 0 || 0 0 0 ||
14b44897 160844e8 || 0 1 1 || 0 1 1 ||
c55bff85 c80177c9 || 0 1 1 || 0 1 1 ||
e091827a 994d9194 || 0 0 0 || 0 0 0 ||
6c0cf681 fb8fb7b6 || 0 0 1 || 0 0 1 ||
4f5bae76 1e1dd28d || 0 0 0 || 0 0 0 ||
88a7f18d 2849d72c || 0 1 0 || 0 1 0 ||
3ae53ac7 d8683a04 || 0 0 1 || 0 0 1 ||
3c370aa4 fd33888d || 0 0 1 || 0 0 1 ||
555bd36d f3a869a9 || 0 0 1 || 0 0 1 ||
a7c0643d 9decb098 || 0 0 0 || 0 0 0 ||
8bc5c33c 2d69830d || 0 1 0 || 0 1 0 ||
aa136701 36b77948 || 0 1 0 || 0 1 0 ||
652c32f3 c2bff6e9 || 0 0 1 || 0 0 1 ||
209ba873 e33f2b9d || 0 0 1 || 0 0 1 ||
5046be74 97c78a19 || 0 0 1 || 0 0 1 ||
fc77ac8e 4871f10d || 0 1 0 || 0 1 0 ||
95a44044 edb52b43 || 0 1 1 || 0 1 1 ||
8c8033d9 0f32db16 || 0 1 0 || 0 1 0 ||
0390a841 ea7d0ecc || 0 0 1 || 0 0 1 ||
db178fbb d5b4a58b || 0 0 0 || 0 0 0 ||
666d6e26 e0606aff || 0 0 1 || 0 0 1 ||
d4c25aac 1eb51160 || 0 1 0 || 0 1 0 ||
408a4886 2aee86e5 || 0 0 0 || 0 0 0 ||
f3616c11 ac5bb096 || 0 0 0 || 0 0 0 ||
b0f23a90 14b3bb09 || 0 1 0 || 0 1 0 ||
a58c1f19 306f830d || 0 1 0 || 0 1 0 ||
2145e3f1 9138f849 || 0 0 1 || 0 0 1 ||
7acfe0fd 606de091 || 0 0 0 || 0 0 0 ||
321f687f e770359e || 0 0 1 || 0 0 1 ||
fef8cd2c 9bdd9ba5 || 0 0 0 || 0 0 0 ||
8d6af2b5 eacc261a || 0 1 1 || 0 1 1 ||
a51668ee 39dd4947 || 0 1 0 || 0 1 0 ||
2185de82 b8b77832 || 0 0 1 || 0 0 1 ||
6b44540b 771bc423 || 0 1 1 || 0 1 1 ||
eb7d7ce1 c604bfe5 || 0 0 0 || 0 0 0 ||
5ce4d7b1 c9138e29 || 0 0 1 || 0 0 1 ||
efd9843b c5c45658 || 0 0 0 || 0 0 0 ||
2293f4d3 8066ba5c || 0 0 1 || 0 0 1 ||
21e30ddc 2fb6748f || 0 1 1 || 0 1 1 ||
0f50dea7 e9244b1c || 0 0 1 || 0 0 1 ||
3b3868d2 81e4534e || 0 0 1 || 0 0 1 ||
373cccb2 1871a63e || 0 0 0 || 0 0 0 ||
bfb3c4f8 df71ba62 || 0 1 1 || 0 1 1 ||
7a7c09b9 fb638bb6 || 0 0 1 || 0 0 1 ||
85053705 938d93f7 || 0 1 1 || 0 1 1 ||
e26862c8 05e711c4 || 0 1 0 || 0 1 0 ||
58626c8e d5d99627 || 0 0 1 || 0 0 1 ||
2cff67e7 085523f3 || 0 0 0 || 0 0 0 ||
c8cc49a4 f2b38d7c || 0 1 1 || 0 1 1 ||
855c6f27 074c346f || 0 1 0 || 0 1 0 ||
61b56c6d 02dff00e || 0 0 0 || 0 0 0 ||
15625187 262d189e || 0 1 1 || 0 1 1 ||
90635c0a 846c0b91 || 0 0 0 || 0 0 0 ||
b81fcf92 f2a70462 || 0 1 1 || 0 1 1 ||
e680a96c 24adda32 || 0 1 0 || 0 1 0 ||
24eb3e0f 443aad0e || 0 1 1 || 0 1 1 ||
33090459 6b3a2707 || 0 1 1 || 0 1 1 ||
4b0d00cf d363c00f || 0 0 1 || 0 0 1 ||
6b506d52 26464b69 || 0 0 0 || 0 0 0 ||
3c466572 e3a5724d || 0 0 1 || 0 0 1 ||
63127256 dc37fc48 || 0 0 1 || 0 0 1 ||
2bcc856c 27121f7c || 0 0 0 || 0 0 0 ||
482c9626 f5aaeec5 || 0 0 1 || 0 0 1 ||
fc3e9bac 1b8b3f7e || 0 1 0 || 0 1 0 ||
73f3d764 49f8afd5 || 0 0 0 || 0 0 0 ||
f18d210a 02f28cd7 || 0 1 0 || 0 1 0 ||
20c9e8ea d14904dd || 0 0 1 || 0 0 1 ||
dfa8587c b6cc9529 || 0 0 0 || 0 0 0 ||
fa04439f cb3ec2d7 || 0 0 0 || 0 0 0 ||
8daee48e e25f6507 || 0 1 1 || 0 1 1 ||
d2cc22c3 8d60fc14 || 0 0 0 || 0 0 0 ||
f659a9e9 0943d27b || 0 1 0 || 0 1 0 ||
081c3ff3 bc43ef2e || 0 0 1 || 0 0 1 ||
27dbe9b7 97074c2b || 0 0 1 || 0 0 1 ||
d742174e fe3710a6 || 0 1 1 || 0 1 1 ||
4e69d054 61942872 || 0 1 1 || 0 1 1 ||
71f2414f bb3098f8 || 0 0 1 || 0 0 1 ||
59605b8c dc231aff || 0 0 1 || 0 0 1 ||
ba0a6db2 dad5bac0 || 0 1 1 || 0 1 1 ||
9ce2edd6 cfd3e6a8 || 0 1 1 || 0 1 1 ||
72dd8e74 08d4a310 || 0 0 0 || 0 0 0 ||
d0df0266 0b2bce8e || 0 1 0 || 0 1 0 ||
866ad295 963e8466 || 0 1 1 || 0 1 1 ||
627fd692 541814c2 || 0 0 0 || 0 0 0 ||
58baad2a 8b28c428 || 0 0 1 || 0 0 1 ||
7cd6df99 cecbc71e || 0 0 1 || 0 0 1 ||
9a3c01ba 144d92c2 || 0 1 0 || 0 1 0 ||
8131471b 76700d0a || 0 1 0 || 0 1 0 ||
1e924bf2 54a93f68 || 0 1 1 || 0 1 1 ||
dea0fb8a 30fe807a || 0 1 0 || 0 1 0 ||
ce2f461b 8606b38e || 0 0 0 || 0 0 0 ||
be846769 95e7ff13 || 0 0 0 || 0 0 0 ||
99823f02 7c8c84bb || 0 1 0 || 0 1 0 ||
41f444de 0d55cbd7 || 0 0 0 || 0 0 0 ||
53f9e73a 7d538ea8 || 0 1 1 || 0 1 1 ||
a50f5f1a b99433d6 || 0 1 1 || 0 1 1 ||
43274f80 d4c0e893 || 0 0 1 || 0 0 1 ||
4ce8f756 54b4801a || 0 1 1 || 0 1 1 ||
ee51319f 90590c1d || 0 0 0 || 0 0 0 ||
61791611 b59607cf || 0 0 1 || 0 0 1 ||
5f430366 fa07592d || 0 0 1 || 0 0 1 ||
e21bb9db 75b21ca2 || 0 1 0 || 0 1 0 ||
9cb545b8 adfb8bb9 || 0 1 1 || 0 1 1 ||
3e56aca9 a4900774 || 0 0 1 || 0 0 1 ||
1148f483 5c69dacb || 0 1 1 || 0 1 1 ||
6fab6be4 1b64704f || 0 0 0 || 0 0 0 ||
9cc61565 6d4ba98c || 0 1 0 || 0 1 0 ||
97a79167 4320275f || 0 1 0 || 0 1 0 ||
bd73e111 3838946b || 0 1 0 || 0 1 0 ||
beb68cce 85647f38 || 0 0 0 || 0 0 0 ||
60f5c1d9 bd3d6e28 || 0 0 1 || 0 0 1 ||
bddaa59f 7636673f || 0 1 0 || 0 1 0 ||
fc2b8dfd fe1fc56a || 0 1 1 || 0 1 1 ||
d0e11f9a aba86ae8 || 0 0 0 || 0 0 0 ||
d68fe527 6010cd2f || 0 1 0 || 0 1 0 ||
ca131d13 7ab22b7e || 0 1 0 || 0 1 0 ||
deb596cb a5d9abd9 || 0 0 0 || 0 0 0 ||
43189dc8 56625a1a || 0 1 1 || 0 1 1 ||
bf40f945 765e6c48 || 0 1 0 || 0 1 0 ||
aefdc2c3 8b78b9a7 || 0 0 0 || 0 0 0 ||
1d744320 26d7d88c || 0 1 1 || 0 1 1 ||
0767fb42 ff429be5 || 0 0 1 || 0 0 1 ||
1bdfd9ab 08f12fab || 0 0 0 || 0 0 0 ||
9a61b1b5 2f26df4c || 0 1 0 || 0 1 0 ||
45037c6c 014dc17f || 0 0 0 || 0 0 0 ||
9e95d4b5 7f04789f || 0 1 0 || 0 1 0 ||
90e60796 a9352632 || 0 1 1 || 0 1 1 ||
a248ea58 4371c9fe || 0 1 0 || 0 1 0 ||
98cd137d 97ec4a92 || 0 0 0 || 0 0 0 ||
d5639ecd f2d5de75 || 0 1 1 || 0 1 1 ||
0d39ef57 5ca4c5c2 || 0 1 1 || 0 1 1 ||
b4a652c7 d18452fc || 0 1 1 || 0 1 1 ||
48ecd275 481cb292 || 0 0 0 || 0 0 0 ||
6415f977 91a77b0b || 0 0 1 || 0 0 1 ||
5310b1b5 030f2362 || 0 0 0 || 0 0 0 ||
0348ff22 91831667 || 0 0 1 || 0 0 1 ||
6a57c4fa 58a1889f || 0 0 0 || 0 0 0 ||
305aab03 d7949cd6 || 0 0 1 || 0 0 1 ||
2e89ed6c e855dd79 || 0 0 1 || 0 0 1 ||
405d4c5b c9b08408 || 0 0 1 || 0 0 1 ||
e0fb6af6 969d8c63 || 0 0 0 || 0 0 0 ||
2c182a40 68a64852 || 0 1 1 || 0 1 1 ||
f99bdbb0 0e4f5c1d || 0 1 0 || 0 1 0 ||
856f21f9 c9d9a61e || 0 1 1 || 0 1 1 ||
1c69c065 2a73470e || 0 1 1 || 0 1 1 ||
c78c10ef a37ad09f || 0 0 0 || 0 0 0 ||
b935675a b22f5cc2 || 0 0 0 || 0 0 0 ||
6598ea2b 2e1a9c9e || 0 0 0 || 0 0 0 ||
5067b9a2 485ce031 || 0 0 0 || 0 0 0 ||
5f8812c1 7e8633d1 || 0 1 1 || 0 1 1 ||
1974f20b 1712da56 || 0 0 0 || 0 0 0 ||
c42b07be a5d3ec8d || 0 0 0 || 0 0 0 ||
a48352ac 718856d7 || 0 1 0 || 0 1 0 ||
7cdd5ade 0a7d4187 || 0 0 0 || 0 0 0 ||
f8b006f2 28b02b26 || 0 1 0 || 0 1 0 ||
305e2c06 e0eb8faf || 0 0 1 || 0 0 1 ||
c798951f e77ae874 || 0 1 1 || 0 1 1 ||
54d5afba fa201a68 || 0 0 1 || 0 0 1 ||
4f986b4b 1e72d7a9 || 0 0 0 || 0 0 0 ||
9327a7ce f79c6611 || 0 1 1 || 0 1 1 ||
2f5e4231 db7b98dc || 0 0 1 || 0 0 1 ||
c3db1e3e 4ea82dc5 || 0 1 0 || 0 1 0 ||
91498087 def8bb15 || 0 1 1 || 0 1 1 ||
635b0459 b3e6932f || 0 0 1 || 0 0 1 ||
0d9d2cf0 a471db35 || 0 0 1 || 0 0 1 ||
e82ad612 3442e3f1 || 0 1 0 || 0 1 0 ||
95630424 f229ff41 || 0 1 1 || 0 1 1 ||
750ce110 c9fe2f3a || 0 0 1 || 0 0 1 ||
2c82e7a1 59f860b1 || 0 1 1 || 0 1 1 ||
7b6693a4 68747a3c || 0 0 0 || 0 0 0 ||
85f8dda9 007df7f2 || 0 1 0 || 0 1 0 ||
5abf7e5d 4b04212e || 0 0 0 || 0 0 0 ||
2eae6fa3 3178b180 || 0 1 1 || 0 1 1 ||
cbdbd5b1 d7b4932d || 0 1 1 || 0 1 1 ||
5e688e02 f0cd721c || 0 0 1 || 0 0 1 ||
e49f9962 ebf644ac || 0 1 1 || 0 1 1 ||
acddb7c8 0045bbaa || 0 1 0 || 0 1 0 ||
85b789bb c1441fb5 || 0 1 1 || 0 1 1 ||
b6bdf2f6 78365ba7 || 0 1 0 || 0 1 0 ||
680607a1 b1f8fc25 || 0 0 1 || 0 0 1 ||
9ebb0576 74badfbd || 0 1 0 || 0 1 0 ||
7eef3a93 e74e7dc3 || 0 0 1 || 0 0 1 ||
37c8fc93 1e2de630 || 0 0 0 || 0 0 0 ||
176ee74a 2f7a87a8 || 0 1 1 || 0 1 1 ||
b645da47 28f416e6 || 0 1 0 || 0 1 0 ||
0550cb28 e633805e || 0 0 1 || 0 0 1 ||
76e0c187 fcbba188 || 0 0 1 || 0 0 1 ||
7f007c08 ccfcba58 || 0 0 1 || 0 0 1 ||
449de67f e245e7de || 0 0 1 || 0 0 1 ||
aae65f7e eaa5267b || 0 1 1 || 0 1 1 ||
5d649b8e 2ea4a0b2 || 0 0 0 || 0 0 0 ||
9c3d4e47 8728ccc9 || 0 0 0 || 0 0 0 ||
e8f968f0 54c84e69 || 0 1 0 || 0 1 0 ||
f0eaaf57 c2d39e64 || 0 0 0 || 0 0 0 ||
b8b3602e fb12c511 || 0 1 1 || 0 1 1 ||
d3cf7440 fce6ecc0 || 0 1 1 || 0 1 1 ||
bba9a6ae 97e09d48 || 0 0 0 || 0 0 0 ||
34061375 2037b542 || 0 0 0 || 0 0 0 ||
d9f8c62e 0729e656 || 0 1 0 || 0 1 0 ||
765e7c51 27c61e12 || 0 0 0 || 0 0 0 ||
2ada0f68 a12912ed || 0 0 1 || 0 0 1 ||
04bc31ab e622892c || 0 0 1 || 0 0 1 ||
cd728a0b 59772e20 || 0 1 0 || 0 1 0 ||
161ebe11 fc35f59e || 0 0 1 || 0 0 1 ||
f76ecdac e6ae8c8b || 0 0 0 || 0 0 0 ||
876e5765 3961c785 || 0 1 0 || 0 1 0 ||
7b6b1e17 cd928cb9 || 0 0 1 || 0 0 1 ||
e255d158 f41ac36c || 0 1 1 || 0 1 1 ||
39dcdb57 494fae23 || 0 1 1 || 0 1 1 ||
17a19b9a 96d82e4c || 0 0 1 || 0 0 1 ||
8584c325 3515f1a3 || 0 1 0 || 0 1 0 ||
3a96d152 ceb316cd || 0 0 1 || 0 0 1 ||
f39c779c 8775f9cd || 0 0 0 || 0 0 0 ||
8b152525 621f6882 || 0 1 0 || 0 1 0 ||
090f502c 89676fca || 0 0 1 || 0 0 1 ||
3c83821c 741a9a81 || 0 1 1 || 0 1 1 ||
0ac7f04c 609171c7 || 0 1 1 || 0 1 1 ||
3ba68c0a 8bf28991 || 0 0 1 || 0 0 1 ||
f1ec0f9b 4b9dd4bd || 0 1 0 || 0 1 0 ||
386f7758 7deec714 || 0 1 1 || 0 1 1 ||
5f3188bf a3b3023e || 0 0 1 || 0 0 1 ||
ac6e7460 70bd5cdc || 0 1 0 || 0 1 0 ||
7fbd059a fa035b43 || 0 0 1 || 0 0 1 ||
c41f850a 62293e67 || 0 1 0 || 0 1 0 ||
51a446e1 a0fb9d0a || 0 0 1 || 0 0 1 ||
6c71eec6 58bf6f82 || 0 0 0 || 0 0 0 ||
227809f8 8d6beea5 || 0 0 1 || 0 0 1 ||
fdf65cc3 46ed413f || 0 1 0 || 0 1 0 ||
bccd2a07 624c612f || 0 1 0 || 0 1 0 ||
6633092b 45c8fcdd || 0 0 0 || 0 0 0 ||
3fbc3f93 7fde646f || 0 1 1 || 0 1 1 ||
b55672c7 9e85fadf || 0 0 0 || 0 0 0 ||
5f4e1b4a 70b7eaff || 0 1 1 || 0 1 1 ||
8d73383f fe3e5f08 || 0 1 1 || 0 1 1 ||
789255d9 eb7ae9f5 || 0 0 1 || 0 0 1 ||
e3a3ccc7 657dcfb3 || 0 1 0 || 0 1 0 ||
9e7de511 020c2bef || 0 1 0 || 0 1 0 ||
54bc3742 4f788ffd || 0 0 0 || 0 0 0 ||
f012fb6f 06df70cb || 0 1 0 || 0 1 0 ||
0aa4eda0 3c6eb209 || 0 1 1 || 0 1 1 ||
0fd19c8a 011ccfb8 || 0 0 0 || 0 0 0 ||
e4a64b48 48884eb4 || 0 1 0 || 0 1 0 ||
b69431b3 78720bb9 || 0 1 0 || 0 1 0 ||
f101c374 8984c0b2 || 0 0 0 || 0 0 0 ||
2a1def92 abe4e938 || 0 0 1 || 0 0 1 ||
b1c0f8e9 4b3837c0 || 0 1 0 || 0 1 0 ||
7c2d8afa 4891c1da || 0 0 0 || 0 0 0 ||
16e59597 bd6ed7e0 || 0 0 1 || 0 0 1 ||
29d626dc 3565020e || 0 1 1 || 0 1 1 ||
cb88d8c7 2a01d70e || 0 1 0 || 0 1 0 ||
3365abc6 0099c778 || 0 0 0 || 0 0 0 ||
a32496c3 12bfc5e0 || 0 1 0 || 0 1 0 ||
e00e2207 756a9e8a || 0 1 0 || 0 1 0 ||
9d5bd3fa ab1e1a7e || 0 1 1 || 0 1 1 ||
e309a135 ae12ba8c || 0 0 0 || 0 0 0 ||
28364a02 2730944e || 0 0 0 || 0 0 0 ||
fd621ab0 5f6034fd || 0 1 0 || 0 1 0 ||
14b54443 84a0f463 || 0 0 1 || 0 0 1 ||
b2617bbf 0147b2bc || 0 1 0 || 0 1 0 ||
41ef579c 4f6239a4 || 0 1 1 || 0 1 1 ||
a5372dd9 f06b2dd1 || 0 1 1 || 0 1 1 ||
11024f32 af069dcd || 0 0 1 || 0 0 1 ||
bde96d45 7e407365 || 0 1 0 || 0 1 0 ||
1467f83f 616a72ae || 0 1 1 || 0 1 1 ||
1c0fda36 cf66c1f4 || 0 0 1 || 0 0 1 ||
55164385 abd0e729 || 0 0 1 || 0 0 1 ||
f97655fc 1f8408b4 || 0 1 0 || 0 1 0 ||
6fe739d5 1752abec || 0 0 0 || 0 0 0 ||
0b6c13d4 e71b10f3 || 0 0 1 || 0 0 1 ||
1a92c8a5 4f1db9da || 0 1 1 || 0 1 1 ||
b12df40f 02d31c81 || 0 1 0 || 0 1 0 ||
c1a3ef92 9636b844 || 0 0 0 || 0 0 0 ||
561a5c77 4740e5b3 || 0 0 0 || 0 0 0 ||
49b58295 8fc9514e || 0 0 1 || 0 0 1 ||
850aea29 ca057517 || 0 1 1 || 0 1 1 ||
96fe0848 24b70add || 0 1 0 || 0 1 0 ||
97ee82a2 e91c9bb4 || 0 1 1 || 0 1 1 ||
d8336e98 8c64bb62 || 0 0 0 || 0 0 0 ||
4c0f34c2 f2a91e69 || 0 0 1 || 0 0 1 ||
e61552a0 a1973eae || 0 0 0 || 0 0 0 ||
917318d6 ca0a7dab || 0 1 1 || 0 1 1 ||
5c6d59ae c62b0f94 || 0 0 1 || 0 0 1 ||
6ef78da0 fd10053f || 0 0 1 || 0 0 1 ||
