a836f4911b9790a9 5abc70a24a81959b || 0 1 0 || 0 1 0 ||
1ad1f4e6bd6a478c 4e783130cba5bd55 || 0 1 1 || 0 1 1 ||
c6b751a4165ba850 a4faf037d13d5830 || 0 0 0 || 0 0 0 ||
e92edb2561b205c4 4df03b18c0553415 || 0 1 0 || 0 1 0 ||
759160f8346de42c 3077ba7b7cae0a9b || 0 0 0 || 0 0 0 ||
fde469a43a5a714a 8c8e9872ddb16f77 || 0 0 0 || 0 0 0 ||
a8a29d457aa270dd dba02e844fd22071 || 0 1 1 || 0 1 1 ||
90b863e3a1f5a5b8 91e1437319bd4c02 || 0 1 1 || 0 1 1 ||
b6f8cfd49956f469 9a6f151f1d8dcf2f || 0 0 0 || 0 0 0 ||
b2ab74ce8c1438ed 3e565a069b5aa71c || 0 1 0 || 0 1 0 ||
b5fead4f6f387663 7ac46df08402b5d1 || 0 1 0 || 0 1 0 ||
fc2e1de221e3af02 5913177d19e11a1f || 0 1 0 || 0 1 0 ||
7c67da5f98165082 41d2c40929258867 || 0 0 0 || 0 0 0 ||
b5c4efe62412b915 036bf4ed8acf73d2 || 0 1 0 || 0 1 0 ||
ae7732be4c0eabc7 f4d74a19bdbe4125 || 0 1 1 || 0 1 1 ||
b20681f0ec50890a e5146d6e8cdf0032 || 0 1 1 || 0 1 1 ||
33d18b11302316e1 88a7a556f8000431 || 0 0 1 || 0 0 1 ||
80e7daab2ea1bae8 86e0d566b1142841 || 0 1 1 || 0 1 1 ||
ab3832ab501ad30c 7bfa39c3b7d5cc47 || 0 1 0 || 0 1 0 ||
b1947e1fbe4f94ef 5cb6507bdeea27dd || 0 1 0 || 0 1 0 ||
9ddb1c2d44c59e19 8b0f6330e3935b4b || 0 0 0 || 0 0 0 ||
fc2435773b566191 c33ba8bb17819576 || 0 0 0 || 0 0 0 ||
480d94b416da324d 37e6bb201a559dd8 || 0 0 0 || 0 0 0 ||
b9d35438bec7d693 eaeb77c1c1fc047a || 0 1 1 || 0 1 1 ||
6b4b0aec5a9deb07 fc28e8a3037f760b || 0 0 1 || 0 0 1 ||
e8932df6d5810e73 6a33a702888585e9 || 0 1 0 || 0 1 0 ||
9c00e87a69b0c68b 1316d73adc9a312e || 0 1 0 || 0 1 0 ||
7799ec8ee0749d99 52bb08aab2715b8b || 0 0 0 || 0 0 0 ||
779c023747e68ef4 7a6254793ef93d21 || 0 1 1 || 0 1 1 ||
ee5c6e3ae067cf85 403f999645fa11b8 || 0 1 0 || 0 1 0 ||
ce4406e4001620fb 5feaae7b5e2fadff || 0 1 0 || 0 1 0 ||
e73fb5a7448048fe 2dc47d6d27672843 || 0 1 0 || 0 1 0 ||
c2694f5540adc65b 923d061bf4512ebb || 0 0 0 || 0 0 0 ||
b0f04cab8a536598 da141f13fa23bdea || 0 1 1 || 0 1 1 ||
c3328337f6d4e3fa f414773364235711 || 0 1 1 || 0 1 1 ||
d48b8486c4355d70 ccdbd8a9126ec2c9 || 0 0 0 || 0 0 0 ||
b6029cad365d9194 5b11f4447baea78c || 0 1 0 || 0 1 0 ||
4de7287ffb527fca b4e1f20e3baf4e56 || 0 0 1 || 0 0 1 ||
9073ca458ce8c33a 96afa6197e99befc || 0 1 1 || 0 1 1 ||
c3909886ce27669e 60486ee7486a1818 || 0 1 0 || 0 1 0 ||
a0b24894e0b84d6d b0dd9d916a3f6b8c || 0 1 1 || 0 1 1 ||
851cb019c908bfd3 cbd90dc24f938f09 || 0 1 1 || 0 1 1 ||
a731ee023f0a37aa 03d5728e2a2f6363 || 0 1 0 || 0 1 0 ||
be273b42c52a23a7 09b898b419c37118 || 0 1 0 || 0 1 0 ||
1e39357b1c7ff2c5 062b690df82b78f4 || 0 0 0 || 0 0 0 ||
bcc7be42bfbfef8f 15025afa46a7725b || 0 1 0 || 0 1 0 ||
86bdae1333e08f58 f8867365db637f80 || 0 1 1 || 0 1 1 ||
a09a83fb91a6e77d b8be9353b2d65102 || 0 1 1 || 0 1 1 ||
1fdf4c5a42a999f3 072dca1e0e8d360d || 0 0 0 || 0 0 0 ||
6099fac050bbb912 66046919d78f7969 || 0 1 1 || 0 1 1 ||
feb57aceb21ad1f1 89673f6f9ddf0671 || 0 0 0 || 0 0 0 ||
29f0a154ab8c05a5 a675def6bf0c62f7 || 0 0 1 || 0 0 1 ||
0db9b29b8853eab2 a4a8a4056260660a || 0 0 1 || 0 0 1 ||
828e2b39f10498f5 232d9e314f0f8e98 || 0 1 0 || 0 1 0 ||
1599d70f45cb6bb1 7b169e3c55941a42 || 0 1 1 || 0 1 1 ||
fe6cc0333c337d7c 0714f629d461e08a || 0 1 0 || 0 1 0 ||
f25537f7bf47c848 b99382142b29ee3d || 0 0 0 || 0 0 0 ||
ab2dbf76c065571d 941b9826f04be995 || 0 0 0 || 0 0 0 ||
9df4242583e27ec2 dfeb69aa028a3768 || 0 1 1 || 0 1 1 ||
0808e39a057bc4da 2978b8a0215703f6 || 0 1 1 || 0 1 1 ||
85525d2dff45ffd4 1f2dd964deadc985 || 0 1 0 || 0 1 0 ||
bd965412f30240ef 7c17a25d5c60f861 || 0 1 0 || 0 1 0 ||
12106460f2fc2bc0 1141a8f2ddd080a8 || 0 0 0 || 0 0 0 ||
9d41c20cbc5bd3c0 8188074fdcfbe2ee || 0 0 0 || 0 0 0 ||
0cf232e16c1a0545 bfe66dded6ae8eed || 0 0 1 || 0 0 1 ||
17747a457276cb42 ee4b35ddf0003a65 || 0 0 1 || 0 0 1 ||
d7685e1176d1faa9 e805a21feb11c11c || 0 1 1 || 0 1 1 ||
3ae7d7151340cd3a b0f1260ccebd00bf || 0 0 1 || 0 0 1 ||
77e834ac73a227e2 a3187196f362777a || 0 0 1 || 0 0 1 ||
5abb34ca18051caf 6b961658e4f85c22 || 0 1 1 || 0 1 1 ||
cc0975ec29088783 b6c701ea0857a182 || 0 0 0 || 0 0 0 ||
60e4424bafdec3e4 0a7cf1f70e96e017 || 0 0 0 || 0 0 0 ||
5bae5a005eca3dd5 1e5beb42c32524cc || 0 0 0 || 0 0 0 ||
36871dd28327d4b3 a9b78d1df69d96a4 || 0 0 1 || 0 0 1 ||
02acf43736a0e7e7 020987e1e1012a85 || 0 0 0 || 0 0 0 ||
55d05b69c254ffae c0cd09d6168f77f6 || 0 0 1 || 0 0 1 ||
598f3313e6d5abf6 490edf2ff8297c08 || 0 0 0 || 0 0 0 ||
6a0e575642514e4f 8af966989969ad71 || 0 0 1 || 0 0 1 ||
194039f548fd4d83 5f426a3d4d4c4b6b || 0 1 1 || 0 1 1 ||
72cc13810e1ba9cd 0443f5ecf491fbd3 || 0 0 0 || 0 0 0 ||
f43cd1010c9fcae0 b48b446151382ff0 || 0 0 0 || 0 0 0 ||
c0ab0684964867f6 acc308b537f22ef9 || 0 0 0 || 0 0 0 ||
66ccac2ebc67303b 0755d98a80f3d84b || 0 0 0 || 0 0 0 ||
e5c3f673cb0e0478 2aba94546ccc3bd0 || 0 1 0 || 0 1 0 ||
176091451dee12e3 9276fdb5370f0434 || 0 0 1 || 0 0 1 ||
0d8cc16c85823a45 739297b38e82a12b || 0 1 1 || 0 1 1 ||
d2b22e9518f50ade 7ab938f1e86b083d || 0 1 0 || 0 1 0 ||
69e9bbd99f04e748 7e5e7b3e8be7d611 || 0 1 1 || 0 1 1 ||
2130ba22f745d559 d393cbee43a6bf84 || 0 0 1 || 0 0 1 ||
66b14ae4f31d4a8f 24e37aa3ee50a153 || 0 0 0 || 0 0 0 ||
b0f8a8c842a037e6 145b11dea2464514 || 0 1 0 || 0 1 0 ||
378fc804e77535b3 344020b7faa108d9 || 0 0 0 || 0 0 0 ||
c183d0be43e0579f 951a1d51b5636c95 || 0 0 0 || 0 0 0 ||
dc78f60c9f1abeca 817e72cd0f8f4380 || 0 0 0 || 0 0 0 ||
5894bdd3d631d3f3 db9a2834018309b1 || 0 0 1 || 0 0 1 ||
e77d2f4e47119ae8 faa7dfe3d6085f02 || 0 1 1 || 0 1 1 ||
8fd616e43f05a949 688d9e32134e6eee || 0 1 0 || 0 1 0 ||
7d6946ce5601211d 882b2a34141f3eb4 || 0 0 1 || 0 0 1 ||
ce976c1d8b195b94 5ac124e6243d3fc4 || 0 1 0 || 0 1 0 ||
2a8dea473756fa56 ae04957833ad1594 || 0 0 1 || 0 0 1 ||
54e124955f1ec995 304e66e2c8a457a8 || 0 0 0 || 0 0 0 ||
cf64a258f1facf9d 999b597731914160 || 0 0 0 || 0 0 0 ||
5c950aec0c67d582 86c6d3d2e4b61ad0 || 0 0 1 || 0 0 1 ||
0ba05e60ec22c5b5 006b8ff22b50d157 || 0 0 0 || 0 0 0 ||
00990ef081983d61 740540f88096ee1e || 0 1 1 || 0 1 1 ||
c5be5b5bb7cbea16 16eaf9a95aad2a3c || 0 1 0 || 0 1 0 ||
752b9d0b856caf0f f980822d383939f6 || 0 0 1 || 0 0 1 ||
239cb4a0adff5a88 8fef0570d5e025c9 || 0 0 1 || 0 0 1 ||
737e044490a96d97 ce65667661f64984 || 0 0 1 || 0 0 1 ||
1ccd5967913582bf e0fe318eb275b565 || 0 0 1 || 0 0 1 ||
3dfeb22ed885f62a 16b68b797519af25 || 0 0 0 || 0 0 0 ||
6db19e2b209430cd 24443e9d6e6d70cd || 0 0 0 || 0 0 0 ||
eff19267985e5551 34b226dd3f46850b || 0 1 0 || 0 1 0 ||
46e97e96570ee890 8e38bfd9d7cf4dbe || 0 0 1 || 0 0 1 ||
a4bc05e7efd7a67c 1315b222735d6e17 || 0 1 0 || 0 1 0 ||
5f3e5e39edb7fba8 493c7fb249f22cd4 || 0 0 0 || 0 0 0 ||
98c43d14831f444d f062cdff6044bb49 || 0 1 1 || 0 1 1 ||
666ddd08a376a44b 331840214425e21a || 0 0 0 || 0 0 0 ||
45a9e431761ebe75 b5261e59a479027b || 0 0 1 || 0 0 1 ||
8e9da4305fd48739 d374722103c79800 || 0 1 1 || 0 1 1 ||
0cf041777347e5aa b0d13aaf28d17940 || 0 0 1 || 0 0 1 ||
6536467425cae967 9ce21d50ab6b8ee7 || 0 0 1 || 0 0 1 ||
10faaa7350c1e754 351fc51a43549aed || 0 1 1 || 0 1 1 ||
44663679cd2881c6 b3e50931de039de5 || 0 0 1 || 0 0 1 ||
037bf3580f17335a 9c6f020b27809a06 || 0 0 1 || 0 0 1 ||
2cbcc85092b02cfb 1c662a03ad3ebc6b || 0 0 0 || 0 0 0 ||
d9d2607a4f546386 3dadce66bc682953 || 0 1 0 || 0 1 0 ||
c0f836b0fb956902 200fd35067a0ce94 || 0 1 0 || 0 1 0 ||
f37b76cf363368a1 b9aa79a8c72b0b10 || 0 0 0 || 0 0 0 ||
8ef8fc144a857224 004c4b2a380bc991 || 0 1 0 || 0 1 0 ||
d3bcadc2e01ac726 90a20ae4632cf9c4 || 0 0 0 || 0 0 0 ||
0b8ce512b458657c 8cab3a11a6360044 || 0 0 1 || 0 0 1 ||
712317a49537ae11 e35cb92f57e4d816 || 0 0 1 || 0 0 1 ||
62b0aae797d4e817 c765930d87b813ad || 0 0 1 || 0 0 1 ||
760afeff451ccaf7 b2245be01b04399a || 0 0 1 || 0 0 1 ||
cd316d1bd2cee7c2 27e0ccd862a61f6c || 0 1 0 || 0 1 0 ||
21a65d34763b80fa 25683ea32e6a7301 || 0 1 1 || 0 1 1 ||
0c4fa244d7190b65 ba267d0f9156f704 || 0 0 1 || 0 0 1 ||
96056417ae361b58 8b4f0ada30a368e0 || 0 0 0 || 0 0 0 ||
e7eee7d91989f969 b9f114d2425af50c || 0 0 0 || 0 0 0 ||
1e95f271404bfa35 0d5a2bb0a7383139 || 0 0 0 || 0 0 0 ||
cda2cc96d7fb3f78 8d10d4b22f725fed || 0 0 0 || 0 0 0 ||
69b8ddeb112b4bc9 dec46f262eb0bb99 || 0 0 1 || 0 0 1 ||
7fdd9321653b3198 d4047283c80662b6 || 0 0 1 || 0 0 1 ||
0c2a53d89a584059 a8d1b9172fff36fd || 0 0 1 || 0 0 1 ||
818a0c86658ebe93 3810e93cd9b67b77 || 0 1 0 || 0 1 0 ||
be7466bc5f4f9f7a 738dffbf12c552ae || 0 1 0 || 0 1 0 ||
fb71f8ab2406e02f e7bff872877964d1 || 0 0 0 || 0 0 0 ||
5bd4b2da35073c7d d7f0985a9d364bfb || 0 0 1 || 0 0 1 ||
cc517a42e154e037 305c3ec354ebb184 || 0 1 0 || 0 1 0 ||
e5ba8e577b35c108 e9a66a1a73d4e963 || 0 1 1 || 0 1 1 ||
33205d5b466dfbaa 1937bad5434ac1d8 || 0 0 0 || 0 0 0 ||
7eefbadb506ab04e 6bd8a3438a6353fb || 0 0 0 || 0 0 0 ||
547ad8ced111c1b1 47531a69024daa76 || 0 0 0 || 0 0 0 ||
5dae867e8f2a2080 0fd0a6a7501cff72 || 0 0 0 || 0 0 0 ||
ac4877e9f811f2f5 55e04f344dad8abc || 0 1 0 || 0 1 0 ||
6e6a396b2ed9f57d d400eb2e63b2ee81 || 0 0 1 || 0 0 1 ||
3222b4c112b60c97 54de79e7a35cc20a || 0 1 1 || 0 1 1 ||
eaa46814dd8cc616 df37afac81e17bcb || 0 0 0 || 0 0 0 ||
ba30c9682d6e0954 f39a697ef843025f || 0 1 1 || 0 1 1 ||
af2b3783bfd3cfde b2dd3a494a25ba17 || 0 1 1 || 0 1 1 ||
a443a51f297fe82a 1cf71c949f00b5e6 || 0 1 0 || 0 1 0 ||
278cd47aa29b0f41 cfebd2c61fdd6dd6 || 0 0 1 || 0 0 1 ||
c3661ed519e7ece3 4511923e412e0313 || 0 1 0 || 0 1 0 ||
0cadf67958cf731f 0af059f40d1190fb || 0 0 0 || 0 0 0 ||
03e532b625f907d0 77877e868e74e93d || 0 1 1 || 0 1 1 ||
deb0d72840cde7e5 61319c925bae3c7e || 0 1 0 || 0 1 0 ||
35858aa7d255e481 3392d8fbe32ce610 || 0 0 0 || 0 0 0 ||
67263cee434d6281 0ebfa868be8ff5d3 || 0 0 0 || 0 0 0 ||
75d3f61835a40703 ca3995dab543a6ab || 0 0 1 || 0 0 1 ||
ae8f73134b2b8d13 dd7a0d6731a96443 || 0 1 1 || 0 1 1 ||
6b4316a2f70c35a8 1be9d12315d92cf9 || 0 0 0 || 0 0 0 ||
80ffa4a734c14508 1d59baa2c9f98ace || 0 1 0 || 0 1 0 ||
bbfc3fd459ae6625 51f0f2b671c5435b || 0 1 0 || 0 1 0 ||
0a44f95355510c71 96080f800659f4da || 0 0 1 || 0 0 1 ||
584b8a74aef78927 349bb3b33ba2b4d2 || 0 0 0 || 0 0 0 ||
e12cc9701d9d3beb de31be803450196f || 0 0 0 || 0 0 0 ||
9f1a10854fd3e0a1 e67d99a7dbfd8b87 || 0 1 1 || 0 1 1 ||
278ae99389b35c61 ea8cc25f9c52ea21 || 0 0 1 || 0 0 1 ||
d1acf3455ac1236e 27739dbd0881fcbd || 0 1 0 || 0 1 0 ||
fcc2fb72b4e6f4ae c7ee5761d9609e88 || 0 0 0 || 0 0 0 ||
a8729b67cb09fbb9 cda31353eedd0360 || 0 1 1 || 0 1 1 ||
da2dfa6d0b79fc95 81d24f81e4ca6ed9 || 0 0 0 || 0 0 0 ||
53ac50981f24f7d6 323da207e0fd2b18 || 0 0 0 || 0 0 0 ||
8cb0786b351b4290 ebad88abe7b69b7c || 0 1 1 || 0 1 1 ||
17d5e19ea18fe2d3 d8daa10c982dab24 || 0 0 1 || 0 0 1 ||
5c61bf4603c29baa 718d30096e8a5078 || 0 1 1 || 0 1 1 ||
306baa59f64951c3 ab6745f71e78880e || 0 0 1 || 0 0 1 ||
994b644baa61b0c2 c0f9633efef8d114 || 0 1 1 || 0 1 1 ||
4a0f17b61626c70b 880ccfd39afba1b2 || 0 0 1 || 0 0 1 ||
29405a0688b27400 49241944d47abda0 || 0 1 1 || 0 1 1 ||
b7db4464ec484bd2 c79a208effab2648 || 0 1 1 || 0 1 1 ||
796fef23aed6f027 582ebb51848a59fa || 0 0 0 || 0 0 0 ||
4c1a47459535b584 47201ae3f3eea950 || 0 0 0 || 0 0 0 ||
28424819495f0fcb f2b4e41e37008d2a || 0 0 1 || 0 0 1 ||
1ed7c43a0a976f27 95a26762920bf9bf || 0 0 1 || 0 0 1 ||
4625538d73ad304c 07d4d8ab2250930d || 0 0 0 || 0 0 0 ||
a7ac34aef761f372 53f3386fbd5fb3aa || 0 1 0 || 0 1 0 ||
0d653fb6b7cd8566 a7c3284e5b850b01 || 0 0 1 || 0 0 1 ||
19f092a4fb98f2c2 0f5e5d21b9dd424f || 0 0 0 || 0 0 0 ||
971a57b5e9baa011 27c07db98e762d95 || 0 1 0 || 0 1 0 ||
334dadc075527c7d 11f4f78f0b37350d || 0 0 0 || 0 0 0 ||
eaf17cda20d298d6 5c3ea2f628d37200 || 0 1 0 || 0 1 0 ||
2ce2d32cc6e23e41 a489fc61141b19ee || 0 0 1 || 0 0 1 ||
aa6c8ae6da41ee2c 29a5f6d561f50b44 || 0 1 0 || 0 1 0 ||
0f5c5a592bbbe07d 27855ebff52ae0a9 || 0 1 1 || 0 1 1 ||
5dfcd071bdb2b07f 9cba9424f39044ea || 0 0 1 || 0 0 1 ||
bb315619911854c3 4811e554c1281ff1 || 0 1 0 || 0 1 0 ||
a878dc5c7fae69ce f7413c02eac9eb76 || 0 1 1 || 0 1 1 ||
0cca2429764bf501 ca0bb9796a94cf73 || 0 0 1 || 0 0 1 ||
5ec2e064e214bb00 7b66fb630dc772d3 || 0 1 1 || 0 1 1 ||
8394ea8bc858a276 510fa4935ed2df56 || 0 1 0 || 0 1 0 ||
6d5f52614c88f037 e087a77bd21ad3db || 0 0 1 || 0 0 1 ||
b5c0ffa098984d0c d601808151aa3899 || 0 1 1 || 0 1 1 ||
7f2d4d14d2ad8140 b22b5cb43bb26a7b || 0 0 1 || 0 0 1 ||
cb6146e7216d4436 80c15af953e1f26d || 0 0 0 || 0 0 0 ||
991cd66c1fdadc40 5495c89b3eca99c7 || 0 1 0 || 0 1 0 ||
8e0147f8a92e830d 94fbea29ea03617c || 0 1 1 || 0 1 1 ||
b34fb6ea27a9d17f 5306ac7eecc5e25b || 0 1 0 || 0 1 0 ||
937e839983ae1347 37dc1abb0f41185c || 0 1 0 || 0 1 0 ||
e892f5b1d874f4a1 899762aa00e50f0e || 0 0 0 || 0 0 0 ||
2ce3d5ab65f577e3 2b3f3a6c442a32be || 0 0 0 || 0 0 0 ||
fe61ca39dde27921 fecdc1ade072c302 || 0 1 1 || 0 1 1 ||
17af7b86fe36167f 83894ad7ebd1ddaa || 0 0 1 || 0 0 1 ||
402afb00347d599f cc9d355a1bdad1dc || 0 0 1 || 0 0 1 ||
c5c00ce6d36df252 52d26199d4433969 || 0 1 0 || 0 1 0 ||
d17452851c7bf442 f50c0dfe7e4e10ad || 0 1 1 || 0 1 1 ||
75ea8c3371b1fea4 02ec39c68e7a7868 || 0 0 0 || 0 0 0 ||
45cbe7d4f11ba008 520d1ee5b595dbe2 || 0 1 1 || 0 1 1 ||
1daf952e7b03cf21 95b8f9727942de88 || 0 0 1 || 0 0 1 ||
f4a62cc33715054d ded0585d9c564c22 || 0 0 0 || 0 0 0 ||
35e06a608a447d32 8576899840377721 || 0 0 1 || 0 0 1 ||
13200d206796ff2b c1519fa2709ec9b4 || 0 0 1 || 0 0 1 ||
87e46b15a43aec17 bd7305efcf5a8409 || 0 1 1 || 0 1 1 ||
0bf6388f2ddc2998 b41394c54675a800 || 0 0 1 || 0 0 1 ||
09809c1299aa7dda 1ba7065dd118da18 || 0 1 1 || 0 1 1 ||
83703e825b132887 647f2c4bce6f05e8 || 0 1 0 || 0 1 0 ||
647ec36c084e28cf 2f138dc9a05f4795 || 0 0 0 || 0 0 0 ||
b87613f37cdbb57d 5158e67bdaf4fff0 || 0 1 0 || 0 1 0 ||
be0a383c6fd3816c 898b376b904d3aef || 0 0 0 || 0 0 0 ||
f850d60238f710ae 8cf9461929270223 || 0 0 0 || 0 0 0 ||
203f1ba1e31c09c9 def4625defc5d226 || 0 0 1 || 0 0 1 ||
bcd5ac1bb6197d8b ffc41e5d727a48ef || 0 1 1 || 0 1 1 ||
2ee2325e89dde7c4 e1b92cdebf9e766d || 0 0 1 || 0 0 1 ||
cf6fd70a4e555c88 570d9e2fc52ea35c || 0 1 0 || 0 1 0 ||
c4ef8f992298eb38 61adb3deafca2684 || 0 1 0 || 0 1 0 ||
9bb5f77fe76554cd 2c8567b8b8bdec13 || 0 1 0 || 0 1 0 ||
d4fab4e557e69704 d5693a1e4a3beb01 || 0 1 1 || 0 1 1 ||
63056b6c01dbc6c6 66a094a010f2c5f0 || 0 1 1 || 0 1 1 ||
e5fdfbd9523912c6 6a80426491a90aae || 0 1 0 || 0 1 0 ||
c3de58f793afe8c4 aa964fd4bbe71cd8 || 0 0 0 || 0 0 0 ||
b5c3995b4dcc4825 8523b7a53b7f0c19 || 0 0 0 || 0 0 0 ||
3d3a2eef55aa1ce4 5371b1f867e143a4 || 0 1 1 || 0 1 1 ||
96953b2994b9f6f5 8ad35ac4fb574d93 || 0 0 0 || 0 0 0 ||
7c0429bd6fbc671d 5f2867b3206e1b99 || 0 0 0 || 0 0 0 ||
81efa2f6f5b2fc63 53c2dd0568a369d7 || 0 1 0 || 0 1 0 ||
b0d48b6914aa44f2 f19dc61a94a4d1aa || 0 1 1 || 0 1 1 ||
6d1c20fe848f3458 05086fe93889f4fb || 0 0 0 || 0 0 0 ||
aaff31e7fd715395 e8a9759ffa1679ee || 0 1 1 || 0 1 1 ||
3875ed6fa51353b4 e51a69fd1a42ba15 || 0 0 1 || 0 0 1 ||
48ee467f8989f38c 910d3bc943a71f2f || 0 0 1 || 0 0 1 ||
fc9f8119ca2d2958 a642c22ff73520bb || 0 0 0 || 0 0 0 ||
86fd7348b3716cf9 e0c56614af2a0b7a || 0 1 1 || 0 1 1 ||
41aa93bcc884d5db 4998a8c5253eb4c1 || 0 1 1 || 0 1 1 ||
42c3eb942696a1e6 1e3baa21fa5a7079 || 0 0 0 || 0 0 0 ||
93c0ea4bc9187bf1 ba2a947dadb8e133 || 0 1 1 || 0 1 1 ||
f94b01ff25b79261 086fccd239a5fda7 || 0 1 0 || 0 1 0 ||
28fb957d56e649ac 19648ee912bff259 || 0 0 0 || 0 0 0 ||
a1f0e713ecb16520 ae99d03975be4934 || 0 1 1 || 0 1 1 ||
6812e02e2bcfc03b f713d3a35a0c3a14 || 0 0 1 || 0 0 1 ||
c198b06926644b75 67318cf4fcac7fca || 0 1 0 || 0 1 0 ||
5beaed162109fa2b 1f86912896846caa || 0 0 0 || 0 0 0 ||
b291de22f519309a 416a072ae18682e3 || 0 1 0 || 0 1 0 ||
2c4f126058d2881f 4c3571ed17b68ae2 || 0 1 1 || 0 1 1 ||
4cf2a2eb1c517d44 eb39776205324c7d || 0 0 1 || 0 0 1 ||
95fc12df8a1d9587 b0932e0978258d16 || 0 1 1 || 0 1 1 ||
f1b976ab58e6f452 2fd04c70a90128ed || 0 1 0 || 0 1 0 ||
dd50e454dea19232 b2980abf6f865f54 || 0 0 0 || 0 0 0 ||
95e581f73b2ee44c 1cf41db8d0ddae54 || 0 1 0 || 0 1 0 ||
9775e269a5a22f04 74833c4eb732a35c || 0 1 0 || 0 1 0 ||
a4ceb56664fdaa38 ba033cbf9fba4472 || 0 1 1 || 0 1 1 ||
a998f5b1a6a40643 286fdcf993e9aee0 || 0 1 0 || 0 1 0 ||
7627c9e4a999f2eb 062549f4c353a150 || 0 0 0 || 0 0 0 ||
f49fd3c663829f90 a1a9137bfecb196e || 0 0 0 || 0 0 0 ||
62282de30b795313 3160746d326838b8 || 0 0 0 || 0 0 0 ||
8030a1e2f03b0847 c64533f3cade7b8f || 0 1 1 || 0 1 1 ||
73e8be4b43d24ce8 1898c247f18b5ee7 || 0 0 0 || 0 0 0 ||
1bba48bcdd829557 66ef566c93824699 || 0 1 1 || 0 1 1 ||
e4f534a9f2d350b3 c2a9b4acf462b3a9 || 0 0 0 || 0 0 0 ||
43fb4bbf874f8225 e36974fe9b3ccf6a || 0 0 1 || 0 0 1 ||
580b4dc990ea8658 f537600d9cdb3276 || 0 0 1 || 0 0 1 ||
050af7943c8937b9 86df78b01bf42377 || 0 0 1 || 0 0 1 ||
4beca9c0a5762be8 94b0c53deb2ea6e5 || 0 0 1 || 0 0 1 ||
7dc1913c7906fbf9 19470fc037c5913b || 0 0 0 || 0 0 0 ||
a57fea2d11a4a043 aed6d32633a3036a || 0 1 1 || 0 1 1 ||
20a86417675964f1 88f7e1a8365d3230 || 0 0 1 || 0 0 1 ||
c10cef269d517ece 30857f5014691033 || 0 1 0 || 0 1 0 ||
23ae69eaaf846be4 351f217da779633d || 0 1 1 || 0 1 1 ||
f7d15a773e894900 66663154f3d295a0 || 0 1 0 || 0 1 0 ||
a1ca25d0f3980a07 691f3a9c78739467 || 0 1 0 || 0 1 0 ||
1c0a2fe7d9ad9641 e11db7cb4228aa07 || 0 0 1 || 0 0 1 ||
6b8f9bff9f122885 2b0ddecf35380158 || 0 0 0 || 0 0 0 ||
f9872df33344a438 f157f971c95d50ad || 0 0 0 || 0 0 0 ||
32853fdcd0dad968 309a08599c17f822 || 0 0 0 || 0 0 0 ||
168e356e2606909f cfacca329bc020fa || 0 0 1 || 0 0 1 ||
418a0122ecc0a5f3 8dc51db4011e7627 || 0 0 1 || 0 0 1 ||
af23b1b10afec22c 9bad3d0ec3373264 || 0 0 0 || 0 0 0 ||
388fe9caebfdb5ec 50a97efab2ad66ae || 0 1 1 || 0 1 1 ||
3b547dc8f3c45058 98e13d7a69bbd910 || 0 0 1 || 0 0 1 ||
9509254dd7158e93 22ee96073309d7e1 || 0 1 0 || 0 1 0 ||
087fe2f50a12ca17 d125ff71610fedf5 || 0 0 1 || 0 0 1 ||
328e1072153c59b3 1c2ef0c91c2061f7 || 0 0 0 || 0 0 0 ||
a5f32db3bbc9a65d f8e272093fd9e07e || 0 1 1 || 0 1 1 ||
2e544050e85ac9e3 c2492cb0590c61fc || 0 0 1 || 0 0 1 ||
dc30a5b61b10d9b2 6c3301f7e3cee3d2 || 0 1 0 || 0 1 0 ||
b6389659c0e6f35e f6910ceccdd5e990 || 0 1 1 || 0 1 1 ||
b70bc98301e75e9e f5016a85ab7dfa09 || 0 1 1 || 0 1 1 ||
3499929e60620449 466b60b5a1d572e9 || 0 1 1 || 0 1 1 ||
7acd774de240c4aa b9b155bafaf90eca || 0 0 1 || 0 0 1 ||
33f8c5cee5a167d6 b4859f98a4d0531b || 0 0 1 || 0 0 1 ||
5e39b0a3446661c5 a755c1d77eef4a14 || 0 0 1 || 0 0 1 ||
4dc08ecf2c5f7091 c51ba955d475d97e || 0 0 1 || 0 0 1 ||
41f6c2ac9c0a945a e364613b6961c1a7 || 0 0 1 || 0 0 1 ||
8811401d3f37677b 535a5241b3e0c4ab || 0 1 0 || 0 1 0 ||
2587df6cb6be3bac 05140ef69d282fa2 || 0 0 0 || 0 0 0 ||
eabc864085ac931b 1275214d16ebd095 || 0 1 0 || 0 1 0 ||
3f3e08240cf04a68 a2f21dbcb97d81fc || 0 0 1 || 0 0 1 ||
ee01b1ed06ac5ed5 a674c45a38f7d6ff || 0 0 0 || 0 0 0 ||
13525724c15f0f44 ea6a003b3f69ce95 || 0 0 1 || 0 0 1 ||
75c248d2360faf9b 3f080626622ae345 || 0 0 0 || 0 0 0 ||
5a9034400b3e8de9 d46407486e6084ed || 0 0 1 || 0 0 1 ||
db3f586552152614 9815bdf7d83515f1 || 0 0 0 || 0 0 0 ||
af692b635dd08be3 90267942e737ab45 || 0 0 0 || 0 0 0 ||
c7d7de14b6e801b0 4013701198d69632 || 0 1 0 || 0 1 0 ||
